x-axis,B
second,Volt
-30.100E-03,-281.250E-03
-30.000E-03,-265.625E-03
-29.900E-03,-265.625E-03
-29.800E-03,-359.375E-03
-29.700E-03,-437.500E-03
-29.600E-03,-531.250E-03
-29.500E-03,-562.500E-03
-29.400E-03,-531.250E-03
-29.300E-03,-484.375E-03
-29.200E-03,-406.250E-03
-29.100E-03,-343.750E-03
-29.000E-03,-328.125E-03
-28.900E-03,-359.375E-03
-28.800E-03,-437.500E-03
-28.700E-03,-515.625E-03
-28.600E-03,-578.125E-03
-28.500E-03,-609.375E-03
-28.400E-03,-609.375E-03
-28.300E-03,-546.875E-03
-28.200E-03,-468.750E-03
-28.100E-03,-406.250E-03
-28.000E-03,-406.250E-03
-27.900E-03,-437.500E-03
-27.800E-03,-500.000E-03
-27.700E-03,-578.125E-03
-27.600E-03,-625.000E-03
-27.500E-03,-640.625E-03
-27.400E-03,-640.625E-03
-27.300E-03,-578.125E-03
-27.200E-03,-500.000E-03
-27.100E-03,-468.750E-03
-27.000E-03,-453.125E-03
-26.900E-03,-500.000E-03
-26.800E-03,-562.500E-03
-26.700E-03,-625.000E-03
-26.600E-03,-687.500E-03
-26.500E-03,-687.500E-03
-26.400E-03,-671.875E-03
-26.300E-03,-609.375E-03
-26.200E-03,-593.750E-03
-26.100E-03,-531.250E-03
-26.000E-03,-546.875E-03
-25.900E-03,-578.125E-03
-25.800E-03,-625.000E-03
-25.700E-03,-671.875E-03
-25.600E-03,-734.375E-03
-25.500E-03,-734.375E-03
-25.400E-03,-734.375E-03
-25.300E-03,-656.250E-03
-25.200E-03,-625.000E-03
-25.100E-03,-578.125E-03
-25.000E-03,-593.750E-03
-24.900E-03,-656.250E-03
-24.800E-03,-671.875E-03
-24.700E-03,-718.750E-03
-24.600E-03,-750.000E-03
-24.500E-03,-750.000E-03
-24.400E-03,-750.000E-03
-24.300E-03,-718.750E-03
-24.200E-03,-671.875E-03
-24.100E-03,-656.250E-03
-24.000E-03,-656.250E-03
-23.900E-03,-687.500E-03
-23.800E-03,-718.750E-03
-23.700E-03,-765.625E-03
-23.600E-03,-796.875E-03
-23.500E-03,-781.250E-03
-23.400E-03,-781.250E-03
-23.300E-03,-734.375E-03
-23.200E-03,-734.375E-03
-23.100E-03,-718.750E-03
-23.000E-03,-718.750E-03
-22.900E-03,-718.750E-03
-22.800E-03,-765.625E-03
-22.700E-03,-765.625E-03
-22.600E-03,-796.875E-03
-22.500E-03,-812.500E-03
-22.400E-03,-812.500E-03
-22.300E-03,-796.875E-03
-22.200E-03,-765.625E-03
-22.100E-03,-765.625E-03
-22.000E-03,-765.625E-03
-21.900E-03,-750.000E-03
-21.800E-03,-781.250E-03
-21.700E-03,-781.250E-03
-21.600E-03,-781.250E-03
-21.500E-03,-812.500E-03
-21.400E-03,-828.125E-03
-21.300E-03,-812.500E-03
-21.200E-03,-812.500E-03
-21.100E-03,-812.500E-03
-21.000E-03,-796.875E-03
-20.900E-03,-796.875E-03
-20.800E-03,-781.250E-03
-20.700E-03,-812.500E-03
-20.600E-03,-828.125E-03
-20.500E-03,-828.125E-03
-20.400E-03,-859.375E-03
-20.300E-03,-859.375E-03
-20.200E-03,-859.375E-03
-20.100E-03,-828.125E-03
-20.000E-03,-812.500E-03
-19.900E-03,-812.500E-03
-19.800E-03,-796.875E-03
-19.700E-03,-796.875E-03
-19.600E-03,-796.875E-03
-19.500E-03,-796.875E-03
-19.400E-03,-859.375E-03
-19.300E-03,-859.375E-03
-19.200E-03,-859.375E-03
-19.100E-03,-875.000E-03
-19.000E-03,-828.125E-03
-18.900E-03,-796.875E-03
-18.800E-03,-812.500E-03
-18.700E-03,-796.875E-03
-18.600E-03,-796.875E-03
-18.500E-03,-796.875E-03
-18.400E-03,-859.375E-03
-18.300E-03,-890.625E-03
-18.200E-03,-890.625E-03
-18.100E-03,-890.625E-03
-18.000E-03,-859.375E-03
-17.900E-03,-812.500E-03
-17.800E-03,-796.875E-03
-17.700E-03,-781.250E-03
-17.600E-03,-796.875E-03
-17.500E-03,-828.125E-03
-17.400E-03,-859.375E-03
-17.300E-03,-906.250E-03
-17.200E-03,-921.875E-03
-17.100E-03,-875.000E-03
-17.000E-03,-843.750E-03
-16.900E-03,-828.125E-03
-16.800E-03,-765.625E-03
