X (Hz),Y (dBV),
5074.167,-74.56075,
5093.243,-69.09544,
5112.318,-67.35658,
5131.395,-63.11623,
5150.47,-58.59463,
5169.546,-57.88448,
5188.622,-64.60647,
5207.698,-69.15956,
5226.773,-61.10265,
5245.849,-61.46254,
5264.925,-64.47146,
5284.001,-64.49118,
5303.077,-64.41945,
5322.152,-64.91013,
5341.228,-66.42358,
5360.304,-64.12109,
5379.38,-61.15792,
5398.456,-64.2269,
5417.532,-71.87755,
5436.607,-65.59693,
5455.683,-63.13472,
5474.759,-64.84198,
5493.835,-66.95581,
5512.911,-65.45203,
5531.986,-69.58157,
5551.062,-68.94081,
5570.138,-62.56782,
5589.214,-64.00639,
5608.29,-72.94682,
5627.366,-83.35513,
5646.441,-87.25991,
5665.517,-82.09225,
5684.593,-85.3985,
5703.669,-70.06724,
5722.745,-64.50034,
5741.82,-63.21409,
5760.896,-64.53354,
5779.972,-72.015,
5799.048,-78.89209,
5818.124,-81.32115,
5837.199,-77.62315,
5856.275,-69.88789,
5875.351,-70.79832,
5894.427,-93.52783,
5913.503,-72.12489,
5932.579,-69.12421,
5951.654,-69.47292,
5970.73,-69.84975,
5989.806,-74.2318,
6008.882,-74.61162,
6027.958,-68.19019,
6047.033,-66.57854,
6066.109,-65.5423,
6085.185,-67.23482,
6104.261,-67.71783,
6123.337,-67.09579,
6142.413,-67.78402,
6161.488,-68.267,
6180.564,-71.88734,
6199.64,-73.12344,
6218.716,-71.04166,
6237.792,-79.09088,
6256.867,-74.31011,
6275.943,-67.90372,
6295.019,-69.63842,
6314.095,-73.84764,
6333.17,-76.16248,
6352.247,-82.97815,
6371.322,-78.19595,
6390.398,-76.77922,
6409.474,-89.2704,
6428.55,-78.50128,
6447.625,-74.27613,
6466.701,-73.37151,
6485.777,-73.7776,
6504.853,-72.9637,
6523.929,-71.67173,
6543.004,-76.67103,
6562.081,-85.55363,
6581.156,-77.6255,
6600.232,-79.16611,
6619.308,-82.89642,
6638.384,-89.7278,
6657.459,-104.3655,
6676.535,-109.1684,
6695.611,-90.95613,
6714.687,-83.41698,
6733.763,-84.1675,
6752.838,-86.57797,
6771.915,-84.56592,
6790.99,-84.10439,
6810.066,-83.27766,
6829.142,-82.78838,
6848.218,-84.65382,
6867.293,-78.49024,
6886.369,-58.57574,
6905.445,-48.69225,
6924.521,-46.01556,
6943.597,-49.60567,
6962.672,-57.34099,
6981.749,-57.35003,
7000.824,-50.06731,
7019.9,-46.44556,
7038.976,-48.9483,
7058.052,-58.63134,
7077.127,-78.55173,
7096.203,-99.43703,
7115.279,-88.8586,
7134.355,-89.00123,
7153.431,-88.9001,
7172.506,-88.99056,
7191.583,-94.27245,
7210.658,-85.14805,
7229.734,-83.2956,
7248.81,-91.45057,
7267.886,-96.93615,
7286.961,-92.46631,
7306.037,-90.44678,
7325.113,-84.26147,
7344.189,-80.81013,
7363.265,-79.75484,
7382.34,-87.46524,
7401.417,-78.74409,
7420.492,-73.76675,
7439.568,-75.83756,
7458.644,-77.19188,
7477.72,-76.25719,
7496.795,-76.42152,
7515.871,-79.6846,
7534.947,-84.29427,
7554.023,-77.12913,
7573.099,-77.98241,
7592.174,-81.97856,
7611.25,-76.74411,
7630.326,-74.83064,
7649.402,-71.99232,
7668.478,-70.09615,
7687.554,-76.90356,
7706.629,-80.96999,
7725.705,-72.89103,
7744.781,-74.23421,
7763.857,-73.47192,
7782.933,-70.24261,
7802.008,-70.00391,
7821.084,-69.26449,
7840.16,-69.86886,
7859.236,-69.37769,
7878.312,-67.62113,
7897.388,-69.00196,
7916.463,-71.0092,
7935.539,-77.88209,
7954.615,-75.6207,
7973.691,-70.92396,
7992.767,-71.09247,
8011.842,-71.93676,
8030.918,-74.99499,
8049.994,-92.4038,
8069.07,-74.25874,
