Freq.	V(vo)
3.64016655139491e+002	(-5.70245992576470e-001dB,-1.05310955041610e+002°)
3.64855800193909e+002	(-5.70265502647608e-001dB,-1.05557236868162e+002°)
3.65696879677458e+002	(-5.70285052932335e-001dB,-1.05804110126753e+002°)
3.66539898049460e+002	(-5.70304640984582e-001dB,-1.06051576364003e+002°)
3.67384859779513e+002	(-5.70324264340808e-001dB,-1.06299637131771e+002°)
3.68231769347520e+002	(-5.70343920520712e-001dB,-1.06548293987186e+002°)
3.69080631243713e+002	(-5.70363607027864e-001dB,-1.06797548492671e+002°)
3.69931449968671e+002	(-5.70383321350241e-001dB,-1.07047402215973e+002°)
3.70784230033351e+002	(-5.70403060960835e-001dB,-1.07297856730190e+002°)
3.71638975959109e+002	(-5.70422823318540e-001dB,-1.07548913613798e+002°)
3.72495692277721e+002	(-5.70442605868639e-001dB,-1.07800574450684e+002°)
3.73354383531414e+002	(-5.70462406043536e-001dB,-1.08052840830169e+002°)
3.74215054272881e+002	(-5.70482221263628e-001dB,-1.08305714347040e+002°)
3.75077709065314e+002	(-5.70502048937972e-001dB,-1.08559196601577e+002°)
3.75942352482423e+002	(-5.70521886464934e-001dB,-1.08813289199582e+002°)
3.76808989108460e+002	(-5.70541731233307e-001dB,-1.09067993752412e+002°)
3.77677623538248e+002	(-5.70561580622786e-001dB,-1.09323311877003e+002°)
3.78548260377199e+002	(-5.70581432005096e-001dB,-1.09579245195899e+002°)
3.79420904241343e+002	(-5.70601282744688e-001dB,-1.09835795337289e+002°)
3.80295559757351e+002	(-5.70621130199740e-001dB,-1.10092963935027e+002°)
3.81172231562560e+002	(-5.70640971723014e-001dB,-1.10350752628670e+002°)
3.82050924304996e+002	(-5.70660804662816e-001dB,-1.10609163063502e+002°)
3.82931642643401e+002	(-5.70680626363920e-001dB,-1.10868196890568e+002°)
3.83814391247255e+002	(-5.70700434168751e-001dB,-1.11127855766701e+002°)
3.84699174796804e+002	(-5.70720225418159e-001dB,-1.11388141354556e+002°)
3.85585997983082e+002	(-5.70739997452593e-001dB,-1.11649055322638e+002°)
3.86474865507938e+002	(-5.70759747613185e-001dB,-1.11910599345332e+002°)
3.87365782084058e+002	(-5.70779473242794e-001dB,-1.12172775102937e+002°)
3.88258752434993e+002	(-5.70799171687150e-001dB,-1.12435584281693e+002°)
3.89153781295184e+002	(-5.70818840296050e-001dB,-1.12699028573816e+002°)
3.90050873409984e+002	(-5.70838476424453e-001dB,-1.12963109677525e+002°)
3.90950033535687e+002	(-5.70858077433791e-001dB,-1.13227829297078e+002°)
3.91851266439550e+002	(-5.70877640693044e-001dB,-1.13493189142798e+002°)
3.92754576899819e+002	(-5.70897163580219e-001dB,-1.13759190931110e+002°)
3.93659969705758e+002	(-5.70916643483428e-001dB,-1.14025836384567e+002°)
3.94567449657669e+002	(-5.70936077802427e-001dB,-1.14293127231888e+002°)
3.95477021566919e+002	(-5.70955463949691e-001dB,-1.14561065207985e+002°)
3.96388690255970e+002	(-5.70974799352068e-001dB,-1.14829652053998e+002°)
3.97302460558397e+002	(-5.70994081451962e-001dB,-1.15098889517323e+002°)
3.98218337318919e+002	(-5.71013307708965e-001dB,-1.15368779351650e+002°)
3.99136325393425e+002	(-5.71032475601088e-001dB,-1.15639323316991e+002°)
4.00056429648994e+002	(-5.71051582626532e-001dB,-1.15910523179714e+002°)
4.00978654963930e+002	(-5.71070626305014e-001dB,-1.16182380712576e+002°)
4.01903006227778e+002	(-5.71089604179332e-001dB,-1.16454897694754e+002°)
4.02829488341356e+002	(-5.71108513817074e-001dB,-1.16728075911881e+002°)
4.03758106216781e+002	(-5.71127352812143e-001dB,-1.17001917156073e+002°)
4.04688864777493e+002	(-5.71146118786411e-001dB,-1.17276423225968e+002°)
4.05621768958280e+002	(-5.71164809391401e-001dB,-1.17551595926757e+002°)
4.06556823705308e+002	(-5.71183422310040e-001dB,-1.17827437070214e+002°)
4.07494033976143e+002	(-5.71201955258415e-001dB,-1.18103948474735e+002°)
4.08433404739782e+002	(-5.71220405987373e-001dB,-1.18381131965366e+002°)
4.09374940976674e+002	(-5.71238772284614e-001dB,-1.18658989373840e+002°)
4.10318647678752e+002	(-5.71257051976250e-001dB,-1.18937522538606e+002°)
4.11264529849453e+002	(-5.71275242928880e-001dB,-1.19216733304869e+002°)
4.12212592503751e+002	(-5.71293343051393e-001dB,-1.19496623524618e+002°)
4.13162840668181e+002	(-5.71311350296849e-001dB,-1.19777195056660e+002°)
4.14115279380862e+002	(-5.71329262664695e-001dB,-1.20058449766659e+002°)
4.15069913691531e+002	(-5.71347078202425e-001dB,-1.20340389527163e+002°)
4.16026748661563e+002	(-5.71364795007864e-001dB,-1.20623016217641e+002°)
4.16985789364002e+002	(-5.71382411231129e-001dB,-1.20906331724518e+002°)
4.17947040883587e+002	(-5.71399925076773e-001dB,-1.21190337941206e+002°)
4.18910508316778e+002	(-5.71417334805872e-001dB,-1.21475036768140e+002°)
4.19876196771782e+002	(-5.71434638738185e-001dB,-1.21760430112811e+002°)
4.20844111368584e+002	(-5.71451835254487e-001dB,-1.22046519889800e+002°)
4.21814257238970e+002	(-5.71468922798586e-001dB,-1.22333308020814e+002°)
4.22786639526559e+002	(-5.71485899879722e-001dB,-1.22620796434717e+002°)
4.23761263386823e+002	(-5.71502765074846e-001dB,-1.22908987067566e+002°)
4.24738133987121e+002	(-5.71519517030935e-001dB,-1.23197881862643e+002°)
4.25717256506724e+002	(-5.71536154467376e-001dB,-1.23487482770492e+002°)
4.26698636136842e+002	(-5.71552676178307e-001dB,-1.23777791748954e+002°)
4.27682278080653e+002	(-5.71569081035141e-001dB,-1.24068810763195e+002°)
4.28668187553327e+002	(-5.71585367988888e-001dB,-1.24360541785745e+002°)
4.29656369782059e+002	(-5.71601536072829e-001dB,-1.24652986796534e+002°)
4.30646830006093e+002	(-5.71617584404790e-001dB,-1.24946147782919e+002°)
4.31639573476750e+002	(-5.71633512189997e-001dB,-1.25240026739726e+002°)
4.32634605457457e+002	(-5.71649318723447e-001dB,-1.25534625669279e+002°)
4.33631931223774e+002	(-5.71665003392629e-001dB,-1.25829946581434e+002°)
4.34631556063424e+002	(-5.71680565680129e-001dB,-1.26125991493617e+002°)
4.35633485276319e+002	(-5.71696005166301e-001dB,-1.26422762430853e+002°)
4.36637724174586e+002	(-5.71711321532088e-001dB,-1.26720261425805e+002°)
4.37644278082600e+002	(-5.71726514561637e-001dB,-1.27018490518805e+002°)
4.38653152337011e+002	(-5.71741584145085e-001dB,-1.27317451757885e+002°)
4.39664352286769e+002	(-5.71756530281555e-001dB,-1.27617147198818e+002°)
4.40677883293156e+002	(-5.71771353081680e-001dB,-1.27917578905145e+002°)
4.41693750729811e+002	(-5.71786052770757e-001dB,-1.28218748948213e+002°)
4.42711959982764e+002	(-5.71800629691492e-001dB,-1.28520659407207e+002°)
4.43732516450458e+002	(-5.71815084306895e-001dB,-1.28823312369183e+002°)
4.44755425543782e+002	(-5.71829417203304e-001dB,-1.29126709929102e+002°)
4.45780692686098e+002	(-5.71843629093396e-001dB,-1.29430854189864e+002°)
4.46808323313270e+002	(-5.71857720819127e-001dB,-1.29735747262339e+002°)
4.47838322873694e+002	(-5.71871693354692e-001dB,-1.30041391265405e+002°)
4.48870696828325e+002	(-5.71885547809784e-001dB,-1.30347788325975e+002°)
4.49905450650708e+002	(-5.71899285432472e-001dB,-1.30654940579035e+002°)
4.50942589827002e+002	(-5.71912907612422e-001dB,-1.30962850167674e+002°)
4.51982119856018e+002	(-5.71926415884050e-001dB,-1.31271519243117e+002°)
4.53024046249240e+002	(-5.71939811929506e-001dB,-1.31580949964758e+002°)
4.54068374530858e+002	(-5.71953097582122e-001dB,-1.31891144500195e+002°)
4.55115110237796e+002	(-5.71966274829360e-001dB,-1.32202105025258e+002°)
4.56164258919744e+002	(-5.71979345816109e-001dB,-1.32513833724043e+002°)
4.57215826139183e+002	(-5.71992312848027e-001dB,-1.32826332788946e+002°)
4.58269817471417e+002	(-5.72005178394745e-001dB,-1.33139604420691e+002°)
4.59326238504604e+002	(-5.72017945092999e-001dB,-1.33453650828366e+002°)
4.60385094839783e+002	(-5.72030615750129e-001dB,-1.33768474229452e+002°)
4.61446392090905e+002	(-5.72043193347291e-001dB,-1.34084076849854e+002°)
4.62510135884863e+002	(-5.72055681042799e-001dB,-1.34400460923934e+002°)
4.63576331861519e+002	(-5.72068082175471e-001dB,-1.34717628694541e+002°)
4.64644985673739e+002	(-5.72080400267946e-001dB,-1.35035582413044e+002°)
4.65716102987420e+002	(-5.72092639030123e-001dB,-1.35354324339357e+002°)
4.66789689481517e+002	(-5.72104802362473e-001dB,-1.35673856741977e+002°)
4.67865750848081e+002	(-5.72116894359465e-001dB,-1.35994181898008e+002°)
4.68944292792281e+002	(-5.72128919312901e-001dB,-1.36315302093196e+002°)
4.70025321032440e+002	(-5.72140881715438e-001dB,-1.36637219621955e+002°)
4.71108841300061e+002	(-5.72152786263877e-001dB,-1.36959936787398e+002°)
4.72194859339861e+002	(-5.72164637862575e-001dB,-1.37283455901368e+002°)
4.73283380909799e+002	(-5.72176441627014e-001dB,-1.37607779284464e+002°)
4.74374411781110e+002	(-5.72188202886984e-001dB,-1.37932909266073e+002°)
4.75467957738329e+002	(-5.72199927190209e-001dB,-1.38258848184397e+002°)
4.76564024579328e+002	(-5.72211620305627e-001dB,-1.38585598386482e+002°)
4.77662618115346e+002	(-5.72223288226884e-001dB,-1.38913162228245e+002°)
4.78763744171014e+002	(-5.72234937175697e-001dB,-1.39241542074504e+002°)
4.79867408584395e+002	(-5.72246573605285e-001dB,-1.39570740299005e+002°)
4.80973617207007e+002	(-5.72258204203679e-001dB,-1.39900759284448e+002°)
4.82082375903858e+002	(-5.72269835897232e-001dB,-1.40231601422516e+002°)
4.83193690553476e+002	(-5.72281475853844e-001dB,-1.40563269113902e+002°)
4.84307567047940e+002	(-5.72293131486475e-001dB,-1.40895764768332e+002°)
4.85424011292914e+002	(-5.72304810456361e-001dB,-1.41229090804597e+002°)
4.86543029207673e+002	(-5.72316520676340e-001dB,-1.41563249650575e+002°)
4.87664626725139e+002	(-5.72328270314278e-001dB,-1.41898243743256e+002°)
4.88788809791911e+002	(-5.72340067796175e-001dB,-1.42234075528771e+002°)
4.89915584368294e+002	(-5.72351921809502e-001dB,-1.42570747462417e+002°)
4.91044956428337e+002	(-5.72363841306486e-001dB,-1.42908262008677e+002°)
4.92176931959856e+002	(-5.72375835507222e-001dB,-1.43246621641249e+002°)
4.93311516964473e+002	(-5.72387913902800e-001dB,-1.43585828843070e+002°)
4.94448717457646e+002	(-5.72400086258583e-001dB,-1.43925886106337e+002°)
4.95588539468698e+002	(-5.72412362617183e-001dB,-1.44266795932535e+002°)
4.96730989040852e+002	(-5.72424753301585e-001dB,-1.44608560832454e+002°)
4.97876072231262e+002	(-5.72437268918111e-001dB,-1.44951183326220e+002°)
4.99023795111045e+002	(-5.72449920359363e-001dB,-1.45294665943311e+002°)
5.00174163765313e+002	(-5.72462718807271e-001dB,-1.45639011222583e+002°)
5.01327184293206e+002	(-5.72475675735879e-001dB,-1.45984221712289e+002°)
5.02482862807925e+002	(-5.72488802914160e-001dB,-1.46330299970105e+002°)
5.03641205436762e+002	(-5.72502112408812e-001dB,-1.46677248563148e+002°)
5.04802218321134e+002	(-5.72515616586944e-001dB,-1.47025070067996e+002°)
5.05965907616616e+002	(-5.72529328118754e-001dB,-1.47373767070713e+002°)
5.07132279492973e+002	(-5.72543259980091e-001dB,-1.47723342166867e+002°)
5.08301340134192e+002	(-5.72557425454951e-001dB,-1.48073797961550e+002°)
5.09473095738517e+002	(-5.72571838137998e-001dB,-1.48425137069397e+002°)
5.10647552518479e+002	(-5.72586511936785e-001dB,-1.48777362114609e+002°)
5.11824716700930e+002	(-5.72601461074177e-001dB,-1.49130475730966e+002°)
5.13004594527080e+002	(-5.72616700090644e-001dB,-1.49484480561853e+002°)
5.14187192252521e+002	(-5.72632243846094e-001dB,-1.49839379260273e+002°)
5.15372516147270e+002	(-5.72648107522109e-001dB,-1.50195174488869e+002°)
5.16560572495795e+002	(-5.72664306623981e-001dB,-1.50551868919939e+002°)
5.17751367597054e+002	(-5.72680856982420e-001dB,-1.50909465235455e+002°)
5.18944907764523e+002	(-5.72697774755282e-001dB,-1.51267966127080e+002°)
5.20141199326234e+002	(-5.72715076429311e-001dB,-1.51627374296188e+002°)
5.21340248624806e+002	(-5.72732778821721e-001dB,-1.51987692453874e+002°)
5.22542062017477e+002	(-5.72750899081495e-001dB,-1.52348923320977e+002°)
5.23746645876144e+002	(-5.72769454690807e-001dB,-1.52711069628095e+002°)
5.24954006587390e+002	(-5.72788463466264e-001dB,-1.53074134115597e+002°)
5.26164150552521e+002	(-5.72807943559860e-001dB,-1.53438119533646e+002°)
5.27377084187600e+002	(-5.72827913459999e-001dB,-1.53803028642205e+002°)
5.28592813923481e+002	(-5.72848391992347e-001dB,-1.54168864211062e+002°)
5.29811346205842e+002	(-5.72869398320510e-001dB,-1.54535629019838e+002°)
5.31032687495219e+002	(-5.72890951946605e-001dB,-1.54903325858005e+002°)
5.32256844267042e+002	(-5.72913072711553e-001dB,-1.55271957524902e+002°)
5.33483823011669e+002	(-5.72935780795571e-001dB,-1.55641526829746e+002°)
5.34713630234419e+002	(-5.72959096717994e-001dB,-1.56012036591647e+002°)
5.35946272455608e+002	(-5.72983041337527e-001dB,-1.56383489639626e+002°)
5.37181756210581e+002	(-5.73007635851805e-001dB,-1.56755888812624e+002°)
5.38420088049750e+002	(-5.73032901797072e-001dB,-1.57129236959518e+002°)
5.39661274538629e+002	(-5.73058861047914e-001dB,-1.57503536939138e+002°)
5.40905322257863e+002	(-5.73085535815994e-001dB,-1.57878791620273e+002°)
5.42152237803270e+002	(-5.73112948649656e-001dB,-1.58255003881694e+002°)
5.43402027785873e+002	(-5.73141122432650e-001dB,-1.58632176612159e+002°)
5.44654698831933e+002	(-5.73170080382882e-001dB,-1.59010312710434e+002°)
5.45910257582987e+002	(-5.73199846050868e-001dB,-1.59389415085299e+002°)
5.47168710695883e+002	(-5.73230443318290e-001dB,-1.59769486655570e+002°)
5.48430064842815e+002	(-5.73261896395864e-001dB,-1.60150530350105e+002°)
5.49694326711355e+002	(-5.73294229821490e-001dB,-1.60532549107822e+002°)
5.50961503004496e+002	(-5.73327468457820e-001dB,-1.60915545877711e+002°)
5.52231600440679e+002	(-5.73361637489924e-001dB,-1.61299523618851e+002°)
5.53504625753834e+002	(-5.73396762422287e-001dB,-1.61684485300418e+002°)
5.54780585693415e+002	(-5.73432869076143e-001dB,-1.62070433901705e+002°)
5.56059487024435e+002	(-5.73469983586118e-001dB,-1.62457372412132e+002°)
5.57341336527501e+002	(-5.73508132396832e-001dB,-1.62845303831265e+002°)
5.58626140998852e+002	(-5.73547342259323e-001dB,-1.63234231168827e+002°)
5.59913907250393e+002	(-5.73587640226933e-001dB,-1.63624157444714e+002°)
5.61204642109732e+002	(-5.73629053651368e-001dB,-1.64015085689012e+002°)
5.62498352420217e+002	(-5.73671610178035e-001dB,-1.64407018942012e+002°)
5.63795045040972e+002	(-5.73715337741582e-001dB,-1.64799960254226e+002°)
5.65094726846932e+002	(-5.73760264560727e-001dB,-1.65193912686401e+002°)
5.66397404728879e+002	(-5.73806419133140e-001dB,-1.65588879309544e+002°)
5.67703085593484e+002	(-5.73853830229850e-001dB,-1.65984863204929e+002°)
5.69011776363335e+002	(-5.73902526889572e-001dB,-1.66381867464124e+002°)
5.70323483976981e+002	(-5.73952538412390e-001dB,-1.66779895189006e+002°)
5.71638215388965e+002	(-5.74003894353672e-001dB,-1.67178949491780e+002°)
5.72955977569863e+002	(-5.74056624517084e-001dB,-1.67579033494999e+002°)
5.74276777506317e+002	(-5.74110758947833e-001dB,-1.67980150331589e+002°)
5.75600622201078e+002	(-5.74166327925190e-001dB,-1.68382303144865e+002°)
5.76927518673038e+002	(-5.74223361955042e-001dB,-1.68785495088555e+002°)
5.78257473957272e+002	(-5.74281891761897e-001dB,-1.69189729326828e+002°)
5.79590495105068e+002	(-5.74341948280530e-001dB,-1.69595009034311e+002°)
5.80926589183973e+002	(-5.74403562647501e-001dB,-1.70001337396119e+002°)
5.82265763277824e+002	(-5.74466766192308e-001dB,-1.70408717607881e+002°)
5.83608024486790e+002	(-5.74531590427971e-001dB,-1.70817152875766e+002°)
5.84953379927404e+002	(-5.74598067041587e-001dB,-1.71226646416513e+002°)
5.86301836732609e+002	(-5.74666227884248e-001dB,-1.71637201457459e+002°)
5.87653402051787e+002	(-5.74736104960923e-001dB,-1.72048821236574e+002°)
5.89008083050804e+002	(-5.74807730419604e-001dB,-1.72461509002487e+002°)
5.90365886912044e+002	(-5.74881136540495e-001dB,-1.72875268014527e+002°)
5.91726820834446e+002	(-5.74956355724560e-001dB,-1.73290101542755e+002°)
5.93090892033548e+002	(-5.75033420481791e-001dB,-1.73706012867998e+002°)
5.94458107741520e+002	(-5.75112363419053e-001dB,-1.74123005281896e+002°)
5.95828475207202e+002	(-5.75193217227742e-001dB,-1.74541082086932e+002°)
5.97202001696146e+002	(-5.75276014670774e-001dB,-1.74960246596483e+002°)
5.98578694490654e+002	(-5.75360788569514e-001dB,-1.75380502134859e+002°)
5.99958560889813e+002	(-5.75447571790011e-001dB,-1.75801852037350e+002°)
6.01341608209538e+002	(-5.75536397229044e-001dB,-1.76224299650273e+002°)
6.02727843782608e+002	(-5.75627297799795e-001dB,-1.76647848331025e+002°)
6.04117274958706e+002	(-5.75720306416938e-001dB,-1.77072501448131e+002°)
6.05509909104458e+002	(-5.75815455981524e-001dB,-1.77498262381303e+002°)
6.06905753603471e+002	(-5.75912779365439e-001dB,-1.77925134521491e+002°)
6.08304815856374e+002	(-5.76012309395359e-001dB,-1.78353121270948e+002°)
6.09707103280856e+002	(-5.76114078836368e-001dB,-1.78782226043289e+002°)
6.11112623311705e+002	(-5.76218120375268e-001dB,-1.79212452263555e+002°)
6.12521383400848e+002	(-5.76324466603313e-001dB,-1.79643803368279e+002°)
6.13933391017392e+002	(-5.76433149998601e-001dB,1.79923717194441e+002°)
6.15348653647659e+002	(-5.76544202908207e-001dB,1.79490105964871e+002°)
6.16767178795232e+002	(-5.76657657529571e-001dB,1.79055359471565e+002°)
6.18188973980989e+002	(-5.76773545891905e-001dB,1.78619474231288e+002°)
6.19614046743148e+002	(-5.76891899836878e-001dB,1.78182446748931e+002°)
6.21042404637302e+002	(-5.77012750998982e-001dB,1.77744273517427e+002°)
6.22474055236462e+002	(-5.77136130785544e-001dB,1.77304951017664e+002°)
6.23909006131098e+002	(-5.77262070356300e-001dB,1.76864475718389e+002°)
6.25347264929176e+002	(-5.77390600602590e-001dB,1.76422844076117e+002°)
6.26788839256201e+002	(-5.77521752126010e-001dB,1.75980052535026e+002°)
6.28233736755257e+002	(-5.77655555216875e-001dB,1.75536097526858e+002°)
6.29681965087046e+002	(-5.77792039832171e-001dB,1.75090975470809e+002°)
6.31133531929931e+002	(-5.77931235573181e-001dB,1.74644682773420e+002°)
6.32588444979976e+002	(-5.78073171662522e-001dB,1.74197215828459e+002°)
6.34046711950983e+002	(-5.78217876921077e-001dB,1.73748571016802e+002°)
6.35508340574539e+002	(-5.78365379744400e-001dB,1.73298744706309e+002°)
6.36973338600054e+002	(-5.78515708078656e-001dB,1.72847733251694e+002°)
6.38441713794802e+002	(-5.78668889396360e-001dB,1.72395532994394e+002°)
6.39913473943961e+002	(-5.78824950671547e-001dB,1.71942140262427e+002°)
6.41388626850658e+002	(-5.78983918354972e-001dB,1.71487551370253e+002°)
6.42867180336006e+002	(-5.79145818348284e-001dB,1.71031762618621e+002°)
6.44349142239148e+002	(-5.79310675978544e-001dB,1.70574770294420e+002°)
6.45834520417300e+002	(-5.79478515971953e-001dB,1.70116570670518e+002°)
6.47323322745788e+002	(-5.79649362427473e-001dB,1.69657160005598e+002°)
6.48815557118094e+002	(-5.79823238789891e-001dB,1.69196534543989e+002°)
6.50311231445896e+002	(-5.80000167822886e-001dB,1.68734690515492e+002°)
6.51810353659111e+002	(-5.80180171581441e-001dB,1.68271624135194e+002°)
6.53312931705935e+002	(-5.80363271384155e-001dB,1.67807331603286e+002°)
6.54818973552888e+002	(-5.80549487785327e-001dB,1.67341809104870e+002°)
6.56328487184853e+002	(-5.80738840546482e-001dB,1.66875052809756e+002°)
6.57841480605122e+002	(-5.80931348607965e-001dB,1.66407058872258e+002°)
6.59357961835435e+002	(-5.81127030060100e-001dB,1.65937823430984e+002°)
6.60877938916024e+002	(-5.81325902113908e-001dB,1.65467342608614e+002°)
6.62401419905657e+002	(-5.81527981072124e-001dB,1.64995612511677e+002°)
6.63928412881679e+002	(-5.81733282299473e-001dB,1.64522629230319e+002°)
6.65458925940053e+002	(-5.81941820193096e-001dB,1.64048388838060e+002°)
6.66992967195408e+002	(-5.82153608152405e-001dB,1.63572887391554e+002°)
6.68530544781078e+002	(-5.82368658549312e-001dB,1.63096120930330e+002°)
6.70071666849146e+002	(-5.82586982697893e-001dB,1.62618085476532e+002°)
