x-axis,B,2
second,Volt,Volt
-1.929995E-03,+2.712886719E+00,+339.445708E-03
-1.924995E-03,+2.708976563E+00,+332.023833E-03
-1.919995E-03,+2.701166016E+00,+324.601567E-03
-1.914995E-03,+2.695306641E+00,+316.789067E-03
-1.909995E-03,+2.689445313E+00,+308.976958E-03
-1.904995E-03,+2.681632813E+00,+301.555083E-03
-1.899995E-03,+2.673816406E+00,+294.132817E-03
-1.894995E-03,+2.662099609E+00,+286.320317E-03
-1.889995E-03,+2.652333984E+00,+278.507817E-03
-1.884995E-03,+2.642568359E+00,+270.694926E-03
-1.879995E-03,+2.632800781E+00,+262.491801E-03
-1.874995E-03,+2.621082031E+00,+254.289066E-03
-1.869995E-03,+2.609363281E+00,+246.475785E-03
-1.864995E-03,+2.597642578E+00,+237.882425E-03
-1.859995E-03,+2.583968750E+00,+229.678910E-03
-1.854995E-03,+2.568343750E+00,+221.085550E-03
-1.849995E-03,+2.552716797E+00,+212.881644E-03
-1.844995E-03,+2.535138672E+00,+203.898050E-03
-1.839995E-03,+2.517564453E+00,+195.694534E-03
-1.834995E-03,+2.503886719E+00,+187.100003E-03
-1.829995E-03,+2.484359375E+00,+177.725393E-03
-1.824995E-03,+2.468732422E+00,+168.741018E-03
-1.819995E-03,+2.451152344E+00,+159.756643E-03
-1.814995E-03,+2.431621094E+00,+150.772268E-03
-1.809995E-03,+2.412087891E+00,+141.788283E-03
-1.804995E-03,+2.390605469E+00,+133.194533E-03
-1.799995E-03,+2.371070313E+00,+124.600002E-03
-1.794995E-03,+2.347632813E+00,+115.225783E-03
-1.789995E-03,+2.324193359E+00,+106.632033E-03
-1.784995E-03,+2.298804688E+00,+98.038673E-03
-1.779995E-03,+2.275365234E+00,+89.835158E-03
-1.774995E-03,+2.249976563E+00,+81.241407E-03
-1.769995E-03,+2.226535156E+00,+72.647267E-03
-1.764995E-03,+2.199191406E+00,+63.662501E-03
-1.759995E-03,+2.171845703E+00,+54.288282E-03
-1.754995E-03,+2.142550781E+00,+45.694141E-03
-1.749995E-03,+2.115203125E+00,+36.709766E-03
-1.744995E-03,+2.083955078E+00,+27.725391E-03
-1.739995E-03,+2.054658203E+00,+18.741407E-03
-1.734995E-03,+2.025357422E+00,+10.147656E-03
-1.729995E-03,+1.992158203E+00,+1.554297E-03
-1.724995E-03,+1.962857422E+00,-6.648438E-03
-1.719995E-03,+1.929656250E+00,-14.461328E-03
-1.714995E-03,+1.898404297E+00,-22.664844E-03
-1.709995E-03,+1.865201172E+00,-31.258204E-03
-1.704995E-03,+1.831998047E+00,-39.461329E-03
-1.699995E-03,+1.798794922E+00,-47.664844E-03
-1.694995E-03,+1.765587891E+00,-56.258204E-03
-1.689995E-03,+1.728478516E+00,-64.462110E-03
-1.684995E-03,+1.691371094E+00,-73.446485E-03
-1.679995E-03,+1.656214844E+00,-82.430470E-03
-1.674995E-03,+1.621060547E+00,-91.023829E-03
-1.669995E-03,+1.587853516E+00,-99.226955E-03
-1.664995E-03,+1.550744141E+00,-107.430080E-03
-1.659995E-03,+1.513634766E+00,-115.633595E-03
-1.654995E-03,+1.476525391E+00,-124.226955E-03
-1.649995E-03,+1.439416016E+00,-132.429689E-03
-1.644995E-03,+1.402304688E+00,-140.242190E-03
-1.639995E-03,+1.363240234E+00,-148.054299E-03
-1.634995E-03,+1.322228516E+00,-155.476174E-03
-1.629995E-03,+1.285115234E+00,-162.898440E-03
-1.624995E-03,+1.244099609E+00,-170.711331E-03
-1.619995E-03,+1.203083984E+00,-178.914065E-03
-1.614995E-03,+1.162070313E+00,-186.726175E-03
-1.609995E-03,+1.123001953E+00,-194.148050E-03
-1.604995E-03,+1.078082031E+00,-201.570316E-03
-1.599995E-03,+1.035113281E+00,-209.382816E-03
-1.594995E-03,+992.144531E-03,-217.194925E-03
-1.589995E-03,+949.173828E-03,-224.616800E-03
-1.584995E-03,+904.250000E-03,-232.038285E-03
-1.579995E-03,+857.376953E-03,-239.069535E-03
-1.574995E-03,+812.457031E-03,-246.101176E-03
-1.569995E-03,+769.488281E-03,-253.522660E-03
-1.564995E-03,+726.517578E-03,-260.553520E-03
-1.559995E-03,+681.595703E-03,-267.194145E-03
-1.554995E-03,+636.671875E-03,-273.835160E-03
-1.549995E-03,+589.800781E-03,-280.866020E-03
-1.544995E-03,+546.832031E-03,-287.506254E-03
-1.539995E-03,+503.865234E-03,-293.755864E-03
-1.534995E-03,+462.845703E-03,-299.615629E-03
-1.529995E-03,+417.921875E-03,-305.865630E-03
-1.524995E-03,+371.048828E-03,-312.115630E-03
-1.519995E-03,+326.125000E-03,-318.365239E-03
-1.514995E-03,+279.248047E-03,-324.224614E-03
-1.509995E-03,+230.423828E-03,-330.083989E-03
-1.504995E-03,+185.498047E-03,-335.942974E-03
-1.499995E-03,+136.667969E-03,-341.411724E-03
-1.494995E-03,+85.896484E-03,-346.880083E-03
-1.489995E-03,+44.875000E-03,-351.958599E-03
-1.484995E-03,-1.996094E-03,-357.427349E-03
-1.479995E-03,-44.966797E-03,-362.895709E-03
-1.474995E-03,-89.886719E-03,-367.973443E-03
-1.469995E-03,-132.857422E-03,-372.660943E-03
-1.464995E-03,-177.781250E-03,-377.348834E-03
-1.459995E-03,-224.656250E-03,-382.426568E-03
-1.454995E-03,-271.533203E-03,-387.114459E-03
-1.449995E-03,-320.361328E-03,-392.191803E-03
-1.444995E-03,-369.187500E-03,-396.489068E-03
-1.439995E-03,-416.062500E-03,-401.176178E-03
-1.434995E-03,-462.937500E-03,-405.473053E-03
-1.429995E-03,-509.814453E-03,-409.769928E-03
-1.424995E-03,-558.638672E-03,-414.066022E-03
-1.419995E-03,-603.560547E-03,-417.582428E-03
-1.414995E-03,-648.484375E-03,-421.878522E-03
-1.409995E-03,-695.353516E-03,-425.394538E-03
-1.404995E-03,-736.375000E-03,-429.300397E-03
-1.399995E-03,-783.251953E-03,-432.816022E-03
-1.394995E-03,-832.076172E-03,-436.331647E-03
-1.389995E-03,-876.998047E-03,-439.846882E-03
-1.384995E-03,-921.921875E-03,-442.971882E-03
-1.379995E-03,-968.794922E-03,-446.097272E-03
-1.374995E-03,-1.013718750E+00,-449.612116E-03
-1.369995E-03,-1.060593750E+00,-452.346882E-03
-1.364995E-03,-1.107468750E+00,-455.471491E-03
-1.359995E-03,-1.154341797E+00,-458.205866E-03
-1.354995E-03,-1.199261719E+00,-460.940241E-03
-1.349995E-03,-1.242230469E+00,-463.674226E-03
-1.344995E-03,-1.285199219E+00,-466.017976E-03
-1.339995E-03,-1.328169922E+00,-468.361335E-03
-1.334995E-03,-1.373089844E+00,-470.314851E-03
-1.329995E-03,-1.416058594E+00,-472.658210E-03
-1.324995E-03,-1.459027344E+00,-474.610945E-03
-1.319995E-03,-1.501994141E+00,-476.173835E-03
-1.314995E-03,-1.543005859E+00,-478.126570E-03
-1.309995E-03,-1.580119141E+00,-479.689070E-03
-1.304995E-03,-1.621134766E+00,-481.251179E-03
-1.299995E-03,-1.662150391E+00,-482.423445E-03
-1.294995E-03,-1.703164062E+00,-483.985554E-03
-1.289995E-03,-1.742226562E+00,-485.157038E-03
-1.284995E-03,-1.781291016E+00,-485.938679E-03
-1.279995E-03,-1.822306641E+00,-487.110554E-03
-1.274995E-03,-1.863320312E+00,-488.281648E-03
-1.269995E-03,-1.902378906E+00,-488.672664E-03
-1.264995E-03,-1.937539062E+00,-489.453523E-03
-1.259995E-03,-1.976603516E+00,-489.844148E-03
-1.254995E-03,-2.017615234E+00,-490.234382E-03
-1.249995E-03,-2.054726562E+00,-490.234382E-03
-1.244995E-03,-2.093785156E+00,-490.234773E-03
-1.239995E-03,-2.128943359E+00,-490.625007E-03
-1.234995E-03,-2.166052734E+00,-490.624617E-03
-1.229995E-03,-2.203162109E+00,-490.233992E-03
-1.224995E-03,-2.240267578E+00,-489.843367E-03
-1.219995E-03,-2.273470703E+00,-489.452351E-03
-1.214995E-03,-2.306673828E+00,-488.671492E-03
-1.209995E-03,-2.339878906E+00,-488.280476E-03
-1.204995E-03,-2.375029297E+00,-487.498445E-03
-1.199995E-03,-2.404330078E+00,-485.937117E-03
-1.194995E-03,-2.437529297E+00,-485.545320E-03
-1.189995E-03,-2.466830078E+00,-483.983210E-03
-1.184995E-03,-2.500031250E+00,-482.810945E-03
-1.179995E-03,-2.531275391E+00,-481.248445E-03
-1.174995E-03,-2.556667969E+00,-479.685945E-03
-1.169995E-03,-2.584007812E+00,-478.123445E-03
-1.164995E-03,-2.607451172E+00,-476.560163E-03
-1.159995E-03,-2.636748047E+00,-474.216804E-03
-1.154995E-03,-2.666044922E+00,-472.263288E-03
-1.149995E-03,-2.695337891E+00,-469.919929E-03
-1.144995E-03,-2.720726562E+00,-467.966413E-03
-1.139995E-03,-2.744166016E+00,-465.622273E-03
-1.134995E-03,-2.769554687E+00,-462.887898E-03
-1.129995E-03,-2.792994141E+00,-460.153913E-03
-1.124995E-03,-2.818382812E+00,-457.809382E-03
-1.119995E-03,-2.841816406E+00,-454.684382E-03
-1.114995E-03,-2.861349609E+00,-451.559382E-03
-1.109995E-03,-2.882837891E+00,-448.434382E-03
-1.104995E-03,-2.908222656E+00,-445.308991E-03
-1.099995E-03,-2.927753906E+00,-441.793366E-03
-1.094995E-03,-2.947287109E+00,-438.277741E-03
-1.089995E-03,-2.968769531E+00,-434.762116E-03
-1.084995E-03,-2.988294922E+00,-431.246100E-03
-1.079995E-03,-3.001970703E+00,-427.339850E-03
-1.074995E-03,-3.019548828E+00,-423.433600E-03
-1.069995E-03,-3.037123047E+00,-419.526959E-03
-1.064995E-03,-3.050792969E+00,-415.230084E-03
-1.059995E-03,-3.062515625E+00,-410.933209E-03
-1.054995E-03,-3.078140625E+00,-406.635944E-03
-1.049995E-03,-3.093763672E+00,-401.948834E-03
-1.044995E-03,-3.107435547E+00,-397.651178E-03
-1.039995E-03,-3.121105469E+00,-392.573443E-03
-1.034995E-03,-3.132820312E+00,-387.885553E-03
-1.029995E-03,-3.140630859E+00,-382.807428E-03
-1.024995E-03,-3.146494141E+00,-377.729303E-03
