x-axis,B
second,Volt
+32.73000E-03,-46.87498E-03
+32.78000E-03,+146.87502E-03
+32.83000E-03,+271.87502E-03
+32.88000E-03,+271.87502E-03
+32.93000E-03,+37.50002E-03
+32.98000E-03,-109.37498E-03
+33.03000E-03,-93.74998E-03
+33.08000E-03,-59.37498E-03
+33.13000E-03,-40.62498E-03
+33.18000E-03,-59.37498E-03
+33.23000E-03,+134.37502E-03
+33.28000E-03,+281.25002E-03
+33.33000E-03,+278.12502E-03
+33.38000E-03,+37.50002E-03
+33.43000E-03,-109.37498E-03
+33.48000E-03,-84.37498E-03
+33.53000E-03,-71.87498E-03
+33.58000E-03,-62.49998E-03
+33.63000E-03,-56.24998E-03
+33.68000E-03,+168.75002E-03
+33.73000E-03,+318.75002E-03
+33.78000E-03,+309.37502E-03
+33.83000E-03,+59.37502E-03
+33.88000E-03,-103.12498E-03
+33.93000E-03,-74.99998E-03
+33.98000E-03,-56.24998E-03
+34.03000E-03,-56.24998E-03
+34.08000E-03,-46.87498E-03
+34.13000E-03,+184.37502E-03
+34.18000E-03,+325.00002E-03
+34.23000E-03,+65.62502E-03
+34.28000E-03,-93.74998E-03
+34.33000E-03,-78.12498E-03
+34.38000E-03,-71.87498E-03
+34.43000E-03,-62.49998E-03
+34.48000E-03,-28.12498E-03
+34.53000E-03,+187.50002E-03
+34.58000E-03,+337.50002E-03
+34.63000E-03,+340.62502E-03
+34.68000E-03,+62.50002E-03
+34.73000E-03,-109.37498E-03
+34.78000E-03,-84.37498E-03
+34.83000E-03,-71.87498E-03
+34.88000E-03,-71.87498E-03
+34.93000E-03,-53.12498E-03
+34.98000E-03,+193.75002E-03
+35.03000E-03,+350.00002E-03
+35.08000E-03,+340.62502E-03
+35.13000E-03,+71.87502E-03
+35.18000E-03,-93.74998E-03
+35.23000E-03,-78.12498E-03
+35.28000E-03,-62.49998E-03
+35.33000E-03,-46.87498E-03
+35.38000E-03,-31.24998E-03
+35.43000E-03,+228.12502E-03
+35.48000E-03,+378.12502E-03
+35.53000E-03,+215.62502E-03
+35.58000E-03,-24.99998E-03
+35.63000E-03,-99.99998E-03
+35.68000E-03,-59.37498E-03
+35.73000E-03,-40.62498E-03
+35.78000E-03,-40.62498E-03
+35.83000E-03,-40.62498E-03
+35.88000E-03,+221.87502E-03
+35.93000E-03,+396.87502E-03
+35.98000E-03,+78.12502E-03
+36.03000E-03,-115.62498E-03
+36.08000E-03,-84.37498E-03
+36.13000E-03,-62.49998E-03
+36.18000E-03,-37.49998E-03
+36.23000E-03,-24.99998E-03
+36.28000E-03,+237.50002E-03
+36.33000E-03,+421.87502E-03
+36.38000E-03,+428.12502E-03
+36.43000E-03,+100.00002E-03
+36.48000E-03,-109.37498E-03
+36.53000E-03,-84.37498E-03
+36.58000E-03,-62.49998E-03
+36.63000E-03,-56.24998E-03
+36.68000E-03,-46.87498E-03
+36.73000E-03,+240.62502E-03
+36.78000E-03,+437.50002E-03
+36.83000E-03,+434.37502E-03
+36.88000E-03,+100.00002E-03
+36.93000E-03,-90.62498E-03
+36.98000E-03,-62.49998E-03
+37.03000E-03,-46.87498E-03
+37.08000E-03,-49.99998E-03
+37.13000E-03,-37.49998E-03
+37.18000E-03,+275.00002E-03
+37.23000E-03,+484.37502E-03
+37.28000E-03,+115.62502E-03
+37.33000E-03,-115.62498E-03
+37.38000E-03,-84.37498E-03
+37.43000E-03,-62.49998E-03
+37.48000E-03,-56.24998E-03
+37.53000E-03,-37.49998E-03
+37.58000E-03,+284.37502E-03
+37.63000E-03,+509.37502E-03
+37.68000E-03,+493.75002E-03
+37.73000E-03,+109.37502E-03
+37.78000E-03,-124.99998E-03
+37.83000E-03,-90.62498E-03
+37.88000E-03,-62.49998E-03
+37.93000E-03,-37.49998E-03
+37.98000E-03,-34.37498E-03
+38.03000E-03,+296.87502E-03
+38.08000E-03,+531.25002E-03
+38.13000E-03,+528.12502E-03
+38.18000E-03,+128.12502E-03
+38.23000E-03,-106.24998E-03
+38.28000E-03,-87.49998E-03
+38.33000E-03,-78.12498E-03
+38.38000E-03,-43.74998E-03
+38.43000E-03,-34.37498E-03
+38.48000E-03,+306.25002E-03
+38.53000E-03,+546.87502E-03
+38.58000E-03,+553.12502E-03
+38.63000E-03,+150.00002E-03
+38.68000E-03,-99.99998E-03
+38.73000E-03,-68.74998E-03
+38.78000E-03,-37.49998E-03
+38.83000E-03,-15.62498E-03
+38.88000E-03,-18.74998E-03
+38.93000E-03,+331.25002E-03
+38.98000E-03,+578.12502E-03
+39.03000E-03,+143.75002E-03
+39.08000E-03,-131.24998E-03
+39.13000E-03,-99.99998E-03
+39.18000E-03,-68.74998E-03
+39.23000E-03,-37.49998E-03
+39.28000E-03,-15.62498E-03
+39.33000E-03,+356.25002E-03
+39.38000E-03,+590.62502E-03
+39.43000E-03,+584.37502E-03
+39.48000E-03,+143.75002E-03
+39.53000E-03,-131.24998E-03
+39.58000E-03,-90.62498E-03
+39.63000E-03,-62.49998E-03
+39.68000E-03,-46.87498E-03
+39.73000E-03,-31.24998E-03
+39.78000E-03,+359.37502E-03
+39.83000E-03,+625.00002E-03
+39.88000E-03,+631.25002E-03
+39.93000E-03,+162.50002E-03
+39.98000E-03,-121.87498E-03
+40.03000E-03,-74.99998E-03
+40.08000E-03,-37.49998E-03
+40.13000E-03,-15.62498E-03
+40.18000E-03,-9.37498E-03
+40.23000E-03,+403.12502E-03
+40.28000E-03,+668.75002E-03
+40.33000E-03,+700.00002E-03
+40.38000E-03,+218.75002E-03
+40.43000E-03,-99.99998E-03
+40.48000E-03,-78.12498E-03
+40.53000E-03,-34.37498E-03
+40.58000E-03,-18.74998E-03
+40.63000E-03,-24.99998E-03
+40.68000E-03,+406.25002E-03
+40.73000E-03,+693.75002E-03
+40.78000E-03,+187.50002E-03
+40.83000E-03,-140.62498E-03
+40.88000E-03,-87.49998E-03
+40.93000E-03,-56.24998E-03
+40.98000E-03,-37.49998E-03
+41.03000E-03,-24.99998E-03
+41.08000E-03,+434.37502E-03
+41.13000E-03,+731.25002E-03
+41.18000E-03,+734.37502E-03
+41.23000E-03,+215.62502E-03
+41.28000E-03,-124.99998E-03
+41.33000E-03,-99.99998E-03
+41.38000E-03,-49.99998E-03
+41.43000E-03,-15.62498E-03
+41.48000E-03,-9.37498E-03
+41.53000E-03,+459.37502E-03
+41.58000E-03,+762.50002E-03
+41.63000E-03,+765.62502E-03
+41.68000E-03,+228.12502E-03
+41.73000E-03,-115.62498E-03
+41.78000E-03,-74.99998E-03
+41.83000E-03,-37.49998E-03
+41.88000E-03,-15.62498E-03
+41.93000E-03,-9.37498E-03
+41.98000E-03,+487.50002E-03
+42.03000E-03,+818.75002E-03
+42.08000E-03,+218.75002E-03
+42.13000E-03,-153.12498E-03
+42.18000E-03,-106.24998E-03
+42.23000E-03,-68.74998E-03
+42.28000E-03,-37.49998E-03
+42.33000E-03,-15.62498E-03
+42.38000E-03,+496.87502E-03
+42.43000E-03,+843.75002E-03
+42.48000E-03,+859.37502E-03
+42.53000E-03,+256.25002E-03
+42.58000E-03,-140.62498E-03
+42.63000E-03,-106.24998E-03
+42.68000E-03,-78.12498E-03
+42.73000E-03,-34.37498E-03
+42.78000E-03,-18.74998E-03
+42.83000E-03,+528.12502E-03
+42.88000E-03,+896.87502E-03
+42.93000E-03,+896.87502E-03
+42.98000E-03,+268.75002E-03
+43.03000E-03,-140.62498E-03
+43.08000E-03,-106.24998E-03
+43.13000E-03,-49.99998E-03
+43.18000E-03,-15.62498E-03
+43.23000E-03,+20E-09
+43.28000E-03,+559.37502E-03
+43.33000E-03,+928.12502E-03
+43.38000E-03,+928.12502E-03
+43.43000E-03,+281.25002E-03
+43.48000E-03,-121.87498E-03
+43.53000E-03,-74.99998E-03
+43.58000E-03,-28.12498E-03
+43.63000E-03,-9.37498E-03
+43.68000E-03,-9.37498E-03
+43.73000E-03,+581.25002E-03
+43.78000E-03,+993.75002E-03
+43.83000E-03,+293.75002E-03
+43.88000E-03,-153.12498E-03
+43.93000E-03,-115.62498E-03
+43.98000E-03,-65.62498E-03
+44.03000E-03,-21.87498E-03
+44.08000E-03,+20E-09
+44.13000E-03,+615.62502E-03
+44.18000E-03,+1.02187502E+00
+44.23000E-03,+1.01250002E+00
+44.28000E-03,+303.12502E-03
+44.33000E-03,-146.87498E-03
+44.38000E-03,-106.24998E-03
+44.43000E-03,-59.37498E-03
+44.48000E-03,-12.49998E-03
+44.53000E-03,+15.62502E-03
+44.58000E-03,+650.00002E-03
+44.63000E-03,+1.07812502E+00
+44.68000E-03,+1.08437502E+00
+44.73000E-03,+325.00002E-03
+44.78000E-03,-143.74998E-03
+44.83000E-03,-90.62498E-03
+44.88000E-03,-34.37498E-03
+44.93000E-03,+9.37502E-03
+44.98000E-03,+21.87502E-03
+45.03000E-03,+678.12502E-03
+45.08000E-03,+1.12500002E+00
+45.13000E-03,+1.14062502E+00
+45.18000E-03,+378.12502E-03
+45.23000E-03,-124.99998E-03
+45.28000E-03,-81.24998E-03
+45.33000E-03,-18.74998E-03
+45.38000E-03,+25.00002E-03
+45.43000E-03,+28.12502E-03
+45.48000E-03,+715.62502E-03
+45.53000E-03,+1.18750002E+00
+45.58000E-03,+350.00002E-03
+45.63000E-03,-174.99998E-03
+45.68000E-03,-103.12498E-03
+45.73000E-03,-43.74998E-03
+45.78000E-03,-15.62498E-03
+45.83000E-03,-9.37498E-03
+45.88000E-03,+721.87502E-03
+45.93000E-03,+1.22812502E+00
+45.98000E-03,+1.24062502E+00
+46.03000E-03,+387.50002E-03
+46.08000E-03,-162.49998E-03
+46.13000E-03,-84.37498E-03
+46.18000E-03,-21.87498E-03
+46.23000E-03,+20E-09
+46.28000E-03,+25.00002E-03
+46.33000E-03,+787.50002E-03
+46.38000E-03,+1.30625002E+00
+46.43000E-03,+1.30937502E+00
+46.48000E-03,+403.12502E-03
+46.53000E-03,-140.62498E-03
+46.58000E-03,-65.62498E-03
+46.63000E-03,-21.87498E-03
+46.68000E-03,+9.37502E-03
+46.73000E-03,+31.25002E-03
+46.78000E-03,+825.00002E-03
+46.83000E-03,+1.35000002E+00
+46.88000E-03,+403.12502E-03
+46.93000E-03,-199.99998E-03
+46.98000E-03,-153.12498E-03
+47.03000E-03,-78.12498E-03
+47.08000E-03,-12.49998E-03
+47.13000E-03,+34.37502E-03
+47.18000E-03,+859.37502E-03
+47.23000E-03,+1.40625002E+00
+47.28000E-03,+1.41250002E+00
+47.33000E-03,+437.50002E-03
+47.38000E-03,-184.37498E-03
+47.43000E-03,-128.12498E-03
+47.48000E-03,-56.24998E-03
+47.53000E-03,+12.50002E-03
+47.58000E-03,+28.12502E-03
+47.63000E-03,+893.75002E-03
+47.68000E-03,+1.49375002E+00
+47.73000E-03,+1.50625002E+00
+47.78000E-03,+475.00002E-03
+47.83000E-03,-165.62498E-03
+47.88000E-03,-96.87498E-03
+47.93000E-03,-34.37498E-03
+47.98000E-03,+9.37502E-03
+48.03000E-03,+31.25002E-03
+48.08000E-03,+946.87502E-03
+48.13000E-03,+1.56250002E+00
+48.18000E-03,+1.56875002E+00
+48.23000E-03,+500.00002E-03
+48.28000E-03,-165.62498E-03
+48.33000E-03,-87.49998E-03
+48.38000E-03,-18.74998E-03
+48.43000E-03,+25.00002E-03
+48.48000E-03,+37.50002E-03
+48.53000E-03,+993.75002E-03
+48.58000E-03,+1.64062502E+00
+48.63000E-03,+512.50002E-03
+48.68000E-03,-206.24998E-03
+48.73000E-03,-143.74998E-03
+48.78000E-03,-71.87498E-03
+48.83000E-03,+6.25002E-03
