Vin,binario,out
1.2,137.254902,61
447,607.8431373,438
899,1235.294118,908
1358.181818,1392.156863,1335
1816,1862.745098,1797
2246,2333.333333,2259
2710,2803.921569,2709
3165,3254.901961,3150
3619,3725.490196,3618
4075,4196.078431,4042
4588,4686.27451,4597
4978,5000,4886
