Vin,binario,out
18,0,5
457,411.7647059,401
906,862.745098,839
1352,1274.509804,1243
1798,1725.490196,1673
2265,2196.078431,2132
2709,2666.666667,2600
3169,3137.254902,3059
3619,3549.019608,3443
4077,4019.607843,3900
4530,4470.588235,4348
4980,4941.176471,4798
